#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

RETTYPE_CUL_CHICAGOAN;Winged Knight;;;;;;;;;;;;;x
RETTYPE_CUL_PLAUTDIETSCH;Peatstachel;;;;;;;;;;;;;x
RETTYPE_CUL_RIVERLANDER;River Riders;;;;;;;;;;;;;x
RETTYPE_CUL_OZZI;Ozzi Knight;;;;;;;;;;;;;x
RETTYPE_CUL_MALAY;Pendekar;;;;;;;;;;;;;x
RETTYPE_CUL_SEFARI;Sefari;;;;;;;;;;;;;x
RETTYPE_CUL_MISKITO;Aiwawakra;;;;;;;;;;;;;x
RETTYPE_CUL_VENTEUX;Gendarmerie;;;;;;;;;;;;;x
RETTYPE_CUL_CUBANO;Azucarero;;;;;;;;;;;;;x
RETTYPE_CUL_FILIPINO;Maharlika;;;;;;;;;;;;;x
RETTYPE_CUL_ANDEAN;Andean;;;;;;;;;;;;;x
RETTYPE_CUL_MAYAN;Atlatlist;;;;;;;;;;;;;x
